ticker,flag_date,direction,price_at_flag,total_volume,vol_oi_ratio
ACMR,2026-07-10,call,106.04,20813,1.52
AEO,2026-07-10,call,16.68,7425,0.9
ARR,2026-07-10,put,17.09,674,2.48
PK,2026-07-10,call,14.14,1236,3.05
ASH,2026-07-10,call,65.0,1227,4.0
OPEN,2026-07-10,call,5.3,125428,0.91
LASR,2026-07-10,call,74.71,3611,0.71
PRAX,2026-07-10,call,333.12,421,2.37
WDFC,2026-07-10,put,267.42,1875,0.97
MTH,2026-07-10,call,76.5025,2602,0.82
GTX,2026-07-10,call,32.61,1392,0.52
FCF,2026-07-10,call,20.33,498,3.39
CBT,2026-07-10,call,88.09,2048,3.25
IDCC,2026-07-10,call,266.6799,768,0.56
EBC,2026-07-10,call,22.285,1715,1.94
PFS,2026-07-10,call,23.62,540,1.74
NOVT,2026-07-10,put,156.99,954,1.53
SKYW,2026-07-10,put,99.595,1798,1.74
NATL,2026-07-10,put,44.82,351,1.65
NPO,2026-07-10,put,333.69,1634,1.64
JXN,2026-07-10,put,119.19,1898,0.5
PSMT,2026-07-10,put,197.985,559,1.41
BFH,2026-07-10,put,97.12,855,0.63
ASO,2026-07-13,call,46.4,5243,0.51
SHAK,2026-07-13,call,61.06,8154,0.84
STC,2026-07-13,put,69.645,213,5.32
TNGX,2026-07-13,call,28.4,3138,0.56
FSS,2026-07-13,put,116.075,929,0.55
GVA,2026-07-13,put,118.78,962,0.73
FCF,2026-07-13,call,20.365,500,3.47
PBF,2026-07-13,call,57.73,11066,0.55
EBC,2026-07-13,call,22.265,1715,2.19
PFS,2026-07-13,call,23.52,540,1.78
SKYW,2026-07-13,put,97.24,1805,1.72
NPO,2026-07-13,put,326.16,1633,1.67
NATL,2026-07-13,put,45.42,351,1.65
JBTM,2026-07-13,put,137.735,488,1.5
IDCC,2026-07-13,call,259.6,761,0.55
